,Unnamed: 0_x,Unnamed: 0.1,GISJOIN,COUNTY,Median age: Total,total_population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,No schooling completed,Regular high school diploma,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,English only,Spanish,In labor force: Civilian labor force: Unemployed,Below Poverty Line,longitude,latitude,Unnamed: 0_y,percapita-income
47,47,47,17095,Knox County,42.2,51374,86.0,9.0,0.0,1.0,0.0,14.000000000000002,35.0,7.000000000000001,1.0,20.0,7.000000000000001,8.0,3.0,1.0,0.0,39.0,1.0,3.0,17.0,-90.21325867511273,40.93181746210885,47,23676
48,48,48,17097,Lake County,38.0,704476,78.0,7.000000000000001,0.0,7.000000000000001,0.0,8.0,41.0,3.0,1.0,12.0,4.0,17.0,9.0,2.0,1.0,25.0,5.0,3.0,8.0,-87.63120909873945,42.325323491938406,48,42388
49,49,49,17099,LaSalle County,41.8,111151,94.0,2.0,0.0,1.0,0.0,11.0,40.0,5.0,1.0,22.0,7.000000000000001,8.0,3.0,1.0,0.0,37.0,2.0,4.0,13.0,-88.88594626508997,41.343994514439935,49,27959
50,50,50,17101,Lawrence County,41.2,16457,87.0,9.0,0.0,0.0,0.0,11.0,38.0,5.0,1.0,21.0,10.0,6.0,2.0,0.0,0.0,36.0,1.0,2.0,14.000000000000002,-87.72672983914275,38.71994801697808,50,21072
51,51,51,17103,Lee County,42.7,34670,91.0,5.0,0.0,1.0,0.0,11.0,39.0,7.000000000000001,0.0,21.0,7.000000000000001,8.0,4.0,1.0,0.0,37.0,1.0,3.0,11.0,-89.3003867176392,41.74619332603415,51,28179
52,52,52,17105,Livingston County,41.6,36812,93.0,4.0,0.0,1.0,0.0,11.0,39.0,5.0,1.0,26.0,6.0,7.000000000000001,3.0,1.0,1.0,37.0,1.0,3.0,12.0,-88.55771736391338,40.89155717217444,52,27318
53,53,53,17107,Logan County,40.6,29488,88.0,7.000000000000001,0.0,1.0,0.0,11.0,39.0,6.0,0.0,20.0,6.0,10.0,3.0,1.0,0.0,36.0,1.0,3.0,8.0,-89.36754586063347,40.12455699423657,53,26479
54,54,54,17109,McDonough County,31.3,31597,90.0,5.0,0.0,2.0,0.0,13.0,32.0,4.0,0.0,16.0,5.0,10.0,6.0,1.0,2.0,34.0,1.0,4.0,20.0,-90.67791021540813,40.456211473337056,54,22527
55,55,55,17111,McHenry County,39.9,308043,92.0,1.0,0.0,3.0,0.0,7.000000000000001,44.0,4.0,0.0,16.0,6.0,15.0,6.0,1.0,1.0,31.0,3.0,3.0,7.000000000000001,-88.45244999251123,42.32438717969418,55,36208
56,56,56,17113,McLean County,32.7,173231,83.0,8.0,0.0,5.0,0.0,11.0,37.0,3.0,0.0,13.0,4.0,18.0,7.000000000000001,1.0,1.0,34.0,1.0,2.0,14.000000000000002,-88.84732299643093,40.49089047367871,56,32943
57,57,57,17115,Macon County,41.0,107587,78.0,14.000000000000002,0.0,1.0,0.0,14.000000000000002,36.0,5.0,1.0,19.0,6.0,10.0,4.0,1.0,0.0,39.0,1.0,5.0,16.0,-88.96159675902771,39.85999518823088,57,28280
58,58,58,17117,Macoupin County,43.1,45960,97.0,1.0,0.0,0.0,0.0,11.0,43.0,6.0,0.0,23.0,6.0,9.0,3.0,1.0,0.0,40.0,0.0,4.0,13.0,-89.9244333127083,39.261015059448376,58,27255
59,59,59,17119,Madison County,40.0,266153,88.0,9.0,0.0,1.0,0.0,11.0,39.0,5.0,0.0,18.0,7.000000000000001,11.0,5.0,1.0,1.0,39.0,1.0,4.0,13.0,-89.9051681022295,38.82985302758228,59,30278
60,60,60,17121,Marion County,41.8,38305,93.0,3.0,0.0,1.0,0.0,13.0,39.0,6.0,0.0,20.0,9.0,7.000000000000001,3.0,0.0,0.0,41.0,1.0,4.0,17.0,-88.91897300906895,38.64959052967815,60,24112
61,61,61,17123,Marshall County,46.3,11925,97.0,0.0,0.0,0.0,0.0,13.0,44.0,4.0,0.0,26.0,7.000000000000001,10.0,2.0,0.0,0.0,39.0,1.0,3.0,10.0,-89.34477720241951,41.033174226979106,61,29025
62,62,62,17125,Mason County,45.5,13904,98.0,1.0,0.0,0.0,0.0,13.0,43.0,7.000000000000001,1.0,26.0,7.000000000000001,8.0,3.0,0.0,0.0,43.0,0.0,4.0,14.000000000000002,-89.91678380159765,40.23964842317288,62,25952
